ID	sp	F1	F2			
1	1	0.479	-2.943			
2	1	1.096	-2.2			
4	1	0.774	-2.379			
5	1	1.869	-2.184			
7	1	1.161	-1.44			
8	1	2.795	-1.366			
9	1	0.744	-1.128			
10	1	1.122	-3.008			
11	1	2.276	-1.783			
12	1	1.468	-1.304			
13	1	2.51	-2.321			
14	1	3.675	-1.351			
15	1	3.84	-0.692			
16	1	1.575	-0.493			
17	1	2.533	-0.97			
19	1	2.324	-2.642			
20	1	2.053	-1.042			
22	2	-2.837	-0.661			
23	2	-4.689	0.113			
24	2	-3.489	1.692			
25	2	-5.993	-0.469			
26	2	-1.933	-0.837			
27	2	-3.027	0.006			
29	2	-4.328	-0.597			
30	2	-6.492	-0.198			
31	2	-4.147	-0.063			
32	2	-6.165	1.721			
33	2	-2.869	0.216			
34	2	-3.576	-0.421			
36	2	-4.338	0.822			
37	2	-5.273	-4.639			
39	2	-4.026	-0.359			
40	2	-4.403	-0.4			
44	2	-3.039	-0.864			
45	3	1.209	2.189			
46	3	0.635	2.913			
48	3	1.201	1.776			
49	3	1.805	2.043			
52	3	1.118	0.865			
53	3	0.73	0.731			
54	3	1.747	2.449			
56	3	2.276	1.391			
57	3	2.617	0.948			
59	3	1.07	0.631			
60	3	0.347	2.457			
62	3	0.691	3.649			
70	3	0.721	1.308			
71	3	2.057	1.394			
76	3	1.916	1.45			
77	3	3.022	2.301			
78	3	0.945	1.267			
81	3	0.375	1.859			
83	3	0.861	1.522			
86	1	2.56	-2.087			
87	1	3.753	-2.883			
88	3	1.482	2.036			
89	3	0.014	3.338			
90	1	2.023	-2.926			
91	3	1.827	1.36			
92	1	1.61	-2.185			
93	3	2.378	3.314			
94	2	-4.72	0.469			
95	3	2.055	0.602			
